DATE,T2M_MAX,YEAR,HEATWAVE,CITY,POPULATION
01-05-2002,39.88,2002,False,Bengaluru,6845566
02-05-2002,38.06,2002,False,Bengaluru,6845566
03-05-2002,37.77,2002,False,Bengaluru,6845566
04-05-2002,35.57,2002,False,Bengaluru,6845566
05-05-2002,38.87,2002,False,Bengaluru,6845566
06-05-2002,38.21,2002,False,Bengaluru,6845566
07-05-2002,37.32,2002,False,Bengaluru,6845566
08-05-2002,35.53,2002,False,Bengaluru,6845566
09-05-2002,34.35,2002,False,Bengaluru,6845566
10-05-2002,35.54,2002,False,Bengaluru,6845566
11-05-2002,34.16,2002,False,Bengaluru,6845566
12-05-2002,36.17,2002,False,Bengaluru,6845566
13-05-2002,36.93,2002,False,Bengaluru,6845566
14-05-2002,36.02,2002,False,Bengaluru,6845566
15-05-2002,30.0,2002,False,Bengaluru,6845566
16-05-2002,27.97,2002,False,Bengaluru,6845566
17-05-2002,27.06,2002,False,Bengaluru,6845566
18-05-2002,30.25,2002,False,Bengaluru,6845566
19-05-2002,32.78,2002,False,Bengaluru,6845566
20-05-2002,30.81,2002,False,Bengaluru,6845566
21-05-2002,33.6,2002,False,Bengaluru,6845566
22-05-2002,30.0,2002,False,Bengaluru,6845566
23-05-2002,32.19,2002,False,Bengaluru,6845566
24-05-2002,31.58,2002,False,Bengaluru,6845566
25-05-2002,29.56,2002,False,Bengaluru,6845566
26-05-2002,30.07,2002,False,Bengaluru,6845566
27-05-2002,30.88,2002,False,Bengaluru,6845566
28-05-2002,32.06,2002,False,Bengaluru,6845566
29-05-2002,29.45,2002,False,Bengaluru,6845566
30-05-2002,30.72,2002,False,Bengaluru,6845566
31-05-2002,29.73,2002,False,Bengaluru,6845566
01-06-2002,29.42,2002,False,Bengaluru,6845566
02-06-2002,29.53,2002,False,Bengaluru,6845566
03-06-2002,29.5,2002,False,Bengaluru,6845566
04-06-2002,30.4,2002,False,Bengaluru,6845566
05-06-2002,30.32,2002,False,Bengaluru,6845566
06-06-2002,28.01,2002,False,Bengaluru,6845566
07-06-2002,27.91,2002,False,Bengaluru,6845566
08-06-2002,31.53,2002,False,Bengaluru,6845566
09-06-2002,28.78,2002,False,Bengaluru,6845566
10-06-2002,26.38,2002,False,Bengaluru,6845566
11-06-2002,26.27,2002,False,Bengaluru,6845566
12-06-2002,26.57,2002,False,Bengaluru,6845566
13-06-2002,27.92,2002,False,Bengaluru,6845566
14-06-2002,28.38,2002,False,Bengaluru,6845566
