DATE,T2M_MAX,YEAR,HEATWAVE,CITY,POPULATION
01-05-2002,42.79,2002,True,Delhi,13562503
02-05-2002,43.63,2002,True,Delhi,13562503
03-05-2002,44.57,2002,True,Delhi,13562503
04-05-2002,45.19,2002,True,Delhi,13562503
05-05-2002,45.76,2002,True,Delhi,13562503
06-05-2002,46.46,2002,True,Delhi,13562503
07-05-2002,45.41,2002,True,Delhi,13562503
08-05-2002,45.83,2002,True,Delhi,13562503
09-05-2002,46.05,2002,True,Delhi,13562503
10-05-2002,46.34,2002,True,Delhi,13562503
11-05-2002,46.96,2002,True,Delhi,13562503
12-05-2002,47.45,2002,True,Delhi,13562503
13-05-2002,46.7,2002,True,Delhi,13562503
14-05-2002,46.93,2002,True,Delhi,13562503
15-05-2002,46.26,2002,True,Delhi,13562503
16-05-2002,45.6,2002,True,Delhi,13562503
17-05-2002,46.94,2002,True,Delhi,13562503
18-05-2002,46.8,2002,True,Delhi,13562503
19-05-2002,46.35,2002,True,Delhi,13562503
20-05-2002,44.86,2002,True,Delhi,13562503
21-05-2002,45.45,2002,True,Delhi,13562503
22-05-2002,46.36,2002,True,Delhi,13562503
23-05-2002,46.31,2002,True,Delhi,13562503
24-05-2002,47.06,2002,True,Delhi,13562503
25-05-2002,41.03,2002,True,Delhi,13562503
26-05-2002,42.19,2002,True,Delhi,13562503
27-05-2002,42.84,2002,True,Delhi,13562503
28-05-2002,36.24,2002,False,Delhi,13562503
29-05-2002,38.43,2002,False,Delhi,13562503
30-05-2002,38.54,2002,False,Delhi,13562503
31-05-2002,39.96,2002,False,Delhi,13562503
01-06-2002,41.25,2002,True,Delhi,13562503
02-06-2002,41.0,2002,True,Delhi,13562503
03-06-2002,42.21,2002,True,Delhi,13562503
04-06-2002,43.15,2002,True,Delhi,13562503
05-06-2002,43.8,2002,True,Delhi,13562503
06-06-2002,44.17,2002,True,Delhi,13562503
07-06-2002,43.95,2002,True,Delhi,13562503
08-06-2002,44.66,2002,True,Delhi,13562503
09-06-2002,45.25,2002,True,Delhi,13562503
10-06-2002,44.72,2002,True,Delhi,13562503
11-06-2002,44.0,2002,True,Delhi,13562503
12-06-2002,43.91,2002,True,Delhi,13562503
13-06-2002,45.01,2002,True,Delhi,13562503
14-06-2002,45.12,2002,True,Delhi,13562503
15-06-2002,44.71,2002,True,Delhi,13562503
16-06-2002,44.52,2002,True,Delhi,13562503
17-06-2002,42.68,2002,True,Delhi,13562503
18-06-2002,43.26,2002,True,Delhi,13562503
19-06-2002,41.43,2002,True,Delhi,13562503
20-06-2002,43.46,2002,True,Delhi,13562503
21-06-2002,44.23,2002,True,Delhi,13562503
22-06-2002,45.31,2002,True,Delhi,13562503
23-06-2002,46.29,2002,True,Delhi,13562503
24-06-2002,40.34,2002,True,Delhi,13562503
25-06-2002,40.43,2002,True,Delhi,13562503
26-06-2002,39.3,2002,False,Delhi,13562503
27-06-2002,37.79,2002,False,Delhi,13562503
28-06-2002,40.01,2002,True,Delhi,13562503
29-06-2002,39.8,2002,False,Delhi,13562503
30-06-2002,42.56,2002,True,Delhi,13562503
01-07-2002,45.13,2002,True,Delhi,13562503
02-07-2002,45.69,2002,True,Delhi,13562503
03-07-2002,45.58,2002,True,Delhi,13562503
04-07-2002,44.59,2002,True,Delhi,13562503
05-07-2002,42.66,2002,True,Delhi,13562503
06-07-2002,42.26,2002,True,Delhi,13562503
07-07-2002,43.22,2002,True,Delhi,13562503
08-07-2002,43.64,2002,True,Delhi,13562503
09-07-2002,43.1,2002,True,Delhi,13562503
10-07-2002,43.85,2002,True,Delhi,13562503
11-07-2002,43.65,2002,True,Delhi,13562503
12-07-2002,45.04,2002,True,Delhi,13562503
13-07-2002,45.34,2002,True,Delhi,13562503
14-07-2002,44.77,2002,True,Delhi,13562503
15-07-2002,45.39,2002,True,Delhi,13562503
16-07-2002,45.27,2002,True,Delhi,13562503
17-07-2002,45.64,2002,True,Delhi,13562503
18-07-2002,44.37,2002,True,Delhi,13562503
19-07-2002,44.7,2002,True,Delhi,13562503
20-07-2002,46.53,2002,True,Delhi,13562503
21-07-2002,43.42,2002,True,Delhi,13562503
22-07-2002,42.43,2002,True,Delhi,13562503
23-07-2002,39.45,2002,False,Delhi,13562503
24-07-2002,41.7,2002,True,Delhi,13562503
25-07-2002,42.43,2002,True,Delhi,13562503
26-07-2002,42.08,2002,True,Delhi,13562503
27-07-2002,43.39,2002,True,Delhi,13562503
28-07-2002,43.08,2002,True,Delhi,13562503
29-07-2002,44.59,2002,True,Delhi,13562503
30-07-2002,43.6,2002,True,Delhi,13562503
31-07-2002,43.68,2002,True,Delhi,13562503
01-08-2002,43.4,2002,True,Delhi,13562503
02-08-2002,43.93,2002,True,Delhi,13562503
03-08-2002,44.26,2002,True,Delhi,13562503
04-08-2002,39.65,2002,False,Delhi,13562503
05-08-2002,38.28,2002,False,Delhi,13562503
06-08-2002,38.01,2002,False,Delhi,13562503
07-08-2002,40.51,2002,True,Delhi,13562503
08-08-2002,40.71,2002,True,Delhi,13562503
09-08-2002,41.9,2002,True,Delhi,13562503
10-08-2002,42.76,2002,True,Delhi,13562503
11-08-2002,41.81,2002,True,Delhi,13562503
12-08-2002,33.19,2002,False,Delhi,13562503
13-08-2002,31.03,2002,False,Delhi,13562503
14-08-2002,34.64,2002,False,Delhi,13562503
15-08-2002,34.77,2002,False,Delhi,13562503
16-08-2002,39.62,2002,False,Delhi,13562503
17-08-2002,40.88,2002,True,Delhi,13562503
18-08-2002,40.27,2002,True,Delhi,13562503
19-08-2002,39.91,2002,False,Delhi,13562503
20-08-2002,42.1,2002,True,Delhi,13562503
21-08-2002,39.75,2002,False,Delhi,13562503
22-08-2002,36.43,2002,False,Delhi,13562503
23-08-2002,35.36,2002,False,Delhi,13562503
24-08-2002,34.53,2002,False,Delhi,13562503
25-08-2002,36.63,2002,False,Delhi,13562503
26-08-2002,34.67,2002,False,Delhi,13562503
27-08-2002,31.29,2002,False,Delhi,13562503
28-08-2002,38.06,2002,False,Delhi,13562503
29-08-2002,34.8,2002,False,Delhi,13562503
30-08-2002,32.87,2002,False,Delhi,13562503
31-08-2002,37.82,2002,False,Delhi,13562503
01-09-2002,37.99,2002,False,Delhi,13562503
02-09-2002,35.63,2002,False,Delhi,13562503
03-09-2002,34.81,2002,False,Delhi,13562503
04-09-2002,35.69,2002,False,Delhi,13562503
05-09-2002,35.28,2002,False,Delhi,13562503
06-09-2002,33.47,2002,False,Delhi,13562503
07-09-2002,32.65,2002,False,Delhi,13562503
08-09-2002,34.77,2002,False,Delhi,13562503
09-09-2002,35.85,2002,False,Delhi,13562503
10-09-2002,34.93,2002,False,Delhi,13562503
11-09-2002,34.5,2002,False,Delhi,13562503
12-09-2002,29.48,2002,False,Delhi,13562503
13-09-2002,28.53,2002,False,Delhi,13562503
14-09-2002,34.21,2002,False,Delhi,13562503
15-09-2002,33.28,2002,False,Delhi,13562503
16-09-2002,34.65,2002,False,Delhi,13562503
17-09-2002,35.16,2002,False,Delhi,13562503
18-09-2002,34.46,2002,False,Delhi,13562503
19-09-2002,35.87,2002,False,Delhi,13562503
20-09-2002,35.09,2002,False,Delhi,13562503
21-09-2002,35.21,2002,False,Delhi,13562503
22-09-2002,33.99,2002,False,Delhi,13562503
23-09-2002,34.46,2002,False,Delhi,13562503
24-09-2002,35.71,2002,False,Delhi,13562503
25-09-2002,35.64,2002,False,Delhi,13562503
26-09-2002,37.21,2002,False,Delhi,13562503
27-09-2002,36.15,2002,False,Delhi,13562503
28-09-2002,36.84,2002,False,Delhi,13562503
29-09-2002,37.0,2002,False,Delhi,13562503
30-09-2002,37.17,2002,False,Delhi,13562503
01-10-2002,37.31,2002,False,Delhi,13562503
02-10-2002,37.53,2002,False,Delhi,13562503
03-10-2002,38.13,2002,False,Delhi,13562503
04-10-2002,37.66,2002,False,Delhi,13562503
05-10-2002,37.63,2002,False,Delhi,13562503
06-10-2002,36.71,2002,False,Delhi,13562503
07-10-2002,36.1,2002,False,Delhi,13562503
08-10-2002,36.2,2002,False,Delhi,13562503
09-10-2002,35.49,2002,False,Delhi,13562503
10-10-2002,34.61,2002,False,Delhi,13562503
11-10-2002,33.51,2002,False,Delhi,13562503
12-10-2002,34.71,2002,False,Delhi,13562503
13-10-2002,33.68,2002,False,Delhi,13562503
14-10-2002,32.31,2002,False,Delhi,13562503
15-10-2002,33.65,2002,False,Delhi,13562503
16-10-2002,33.77,2002,False,Delhi,13562503
17-10-2002,34.55,2002,False,Delhi,13562503
18-10-2002,34.11,2002,False,Delhi,13562503
19-10-2002,34.53,2002,False,Delhi,13562503
20-10-2002,36.7,2002,False,Delhi,13562503
21-10-2002,36.44,2002,False,Delhi,13562503
22-10-2002,34.35,2002,False,Delhi,13562503
23-10-2002,32.0,2002,False,Delhi,13562503
24-10-2002,31.69,2002,False,Delhi,13562503
25-10-2002,32.7,2002,False,Delhi,13562503
26-10-2002,34.1,2002,False,Delhi,13562503
27-10-2002,33.07,2002,False,Delhi,13562503
28-10-2002,34.77,2002,False,Delhi,13562503
29-10-2002,34.47,2002,False,Delhi,13562503
30-10-2002,33.75,2002,False,Delhi,13562503
31-10-2002,32.79,2002,False,Delhi,13562503
01-11-2002,32.75,2002,False,Delhi,13562503
02-11-2002,32.73,2002,False,Delhi,13562503
03-11-2002,31.4,2002,False,Delhi,13562503
04-11-2002,30.99,2002,False,Delhi,13562503
05-11-2002,31.74,2002,False,Delhi,13562503
06-11-2002,30.03,2002,False,Delhi,13562503
07-11-2002,30.3,2002,False,Delhi,13562503
08-11-2002,30.56,2002,False,Delhi,13562503
09-11-2002,27.68,2002,False,Delhi,13562503
10-11-2002,30.86,2002,False,Delhi,13562503
11-11-2002,31.17,2002,False,Delhi,13562503
12-11-2002,27.13,2002,False,Delhi,13562503
13-11-2002,28.66,2002,False,Delhi,13562503
14-11-2002,28.74,2002,False,Delhi,13562503
15-11-2002,28.87,2002,False,Delhi,13562503
16-11-2002,30.4,2002,False,Delhi,13562503
17-11-2002,31.32,2002,False,Delhi,13562503
18-11-2002,31.54,2002,False,Delhi,13562503
19-11-2002,31.15,2002,False,Delhi,13562503
20-11-2002,30.09,2002,False,Delhi,13562503
21-11-2002,29.64,2002,False,Delhi,13562503
22-11-2002,30.04,2002,False,Delhi,13562503
23-11-2002,29.04,2002,False,Delhi,13562503
24-11-2002,26.47,2002,False,Delhi,13562503
25-11-2002,30.55,2002,False,Delhi,13562503
26-11-2002,29.95,2002,False,Delhi,13562503
27-11-2002,28.3,2002,False,Delhi,13562503
28-11-2002,27.82,2002,False,Delhi,13562503
29-11-2002,28.05,2002,False,Delhi,13562503
30-11-2002,27.92,2002,False,Delhi,13562503
01-12-2002,27.12,2002,False,Delhi,13562503
02-12-2002,26.07,2002,False,Delhi,13562503
03-12-2002,26.81,2002,False,Delhi,13562503
04-12-2002,22.63,2002,False,Delhi,13562503
05-12-2002,25.47,2002,False,Delhi,13562503
06-12-2002,25.95,2002,False,Delhi,13562503
07-12-2002,26.64,2002,False,Delhi,13562503
08-12-2002,28.52,2002,False,Delhi,13562503
09-12-2002,26.49,2002,False,Delhi,13562503
10-12-2002,26.4,2002,False,Delhi,13562503
11-12-2002,25.87,2002,False,Delhi,13562503
12-12-2002,26.38,2002,False,Delhi,13562503
13-12-2002,26.77,2002,False,Delhi,13562503
14-12-2002,27.43,2002,False,Delhi,13562503
15-12-2002,29.24,2002,False,Delhi,13562503
16-12-2002,29.02,2002,False,Delhi,13562503
17-12-2002,27.57,2002,False,Delhi,13562503
18-12-2002,28.43,2002,False,Delhi,13562503
19-12-2002,27.58,2002,False,Delhi,13562503
20-12-2002,27.98,2002,False,Delhi,13562503
21-12-2002,28.05,2002,False,Delhi,13562503
22-12-2002,26.82,2002,False,Delhi,13562503
23-12-2002,25.4,2002,False,Delhi,13562503
24-12-2002,24.58,2002,False,Delhi,13562503
25-12-2002,23.68,2002,False,Delhi,13562503
26-12-2002,23.29,2002,False,Delhi,13562503
27-12-2002,22.25,2002,False,Delhi,13562503
28-12-2002,22.75,2002,False,Delhi,13562503
29-12-2002,23.49,2002,False,Delhi,13562503
30-12-2002,23.05,2002,False,Delhi,13562503
31-12-2002,12.96,2002,False,Delhi,13562503
01-01-2003,18.43,2003,False,Delhi,13920885
02-01-2003,19.52,2003,False,Delhi,13920885
03-01-2003,18.17,2003,False,Delhi,13920885
04-01-2003,19.71,2003,False,Delhi,13920885
05-01-2003,20.64,2003,False,Delhi,13920885
06-01-2003,21.75,2003,False,Delhi,13920885
07-01-2003,21.27,2003,False,Delhi,13920885
08-01-2003,21.98,2003,False,Delhi,13920885
09-01-2003,21.23,2003,False,Delhi,13920885
10-01-2003,21.11,2003,False,Delhi,13920885
11-01-2003,21.66,2003,False,Delhi,13920885
12-01-2003,21.42,2003,False,Delhi,13920885
13-01-2003,21.65,2003,False,Delhi,13920885
14-01-2003,21.72,2003,False,Delhi,13920885
15-01-2003,23.01,2003,False,Delhi,13920885
16-01-2003,22.68,2003,False,Delhi,13920885
17-01-2003,24.64,2003,False,Delhi,13920885
18-01-2003,24.11,2003,False,Delhi,13920885
19-01-2003,22.67,2003,False,Delhi,13920885
20-01-2003,23.36,2003,False,Delhi,13920885
21-01-2003,24.02,2003,False,Delhi,13920885
22-01-2003,23.77,2003,False,Delhi,13920885
23-01-2003,26.39,2003,False,Delhi,13920885
24-01-2003,26.24,2003,False,Delhi,13920885
25-01-2003,27.67,2003,False,Delhi,13920885
26-01-2003,27.39,2003,False,Delhi,13920885
27-01-2003,22.75,2003,False,Delhi,13920885
