DATE,T2M_MAX,YEAR,HEATWAVE,CITY,POPULATION
01-05-2002,40.67,2002,True,Kolkata,4565257
02-05-2002,39.94,2002,False,Kolkata,4565257
03-05-2002,41.18,2002,True,Kolkata,4565257
04-05-2002,40.96,2002,True,Kolkata,4565257
05-05-2002,40.8,2002,True,Kolkata,4565257
06-05-2002,40.97,2002,True,Kolkata,4565257
07-05-2002,41.16,2002,True,Kolkata,4565257
08-05-2002,42.39,2002,True,Kolkata,4565257
09-05-2002,43.22,2002,True,Kolkata,4565257
10-05-2002,42.6,2002,True,Kolkata,4565257
11-05-2002,41.48,2002,True,Kolkata,4565257
12-05-2002,40.66,2002,True,Kolkata,4565257
13-05-2002,41.93,2002,True,Kolkata,4565257
14-05-2002,37.73,2002,False,Kolkata,4565257
15-05-2002,33.98,2002,False,Kolkata,4565257
16-05-2002,37.43,2002,False,Kolkata,4565257
17-05-2002,39.41,2002,False,Kolkata,4565257
18-05-2002,40.52,2002,True,Kolkata,4565257
19-05-2002,43.15,2002,True,Kolkata,4565257
20-05-2002,46.81,2002,True,Kolkata,4565257
21-05-2002,45.84,2002,True,Kolkata,4565257
22-05-2002,45.79,2002,True,Kolkata,4565257
23-05-2002,42.64,2002,True,Kolkata,4565257
24-05-2002,37.98,2002,False,Kolkata,4565257
25-05-2002,36.75,2002,False,Kolkata,4565257
26-05-2002,37.57,2002,False,Kolkata,4565257
27-05-2002,35.46,2002,False,Kolkata,4565257
28-05-2002,37.64,2002,False,Kolkata,4565257
29-05-2002,32.99,2002,False,Kolkata,4565257
30-05-2002,34.46,2002,False,Kolkata,4565257
31-05-2002,33.78,2002,False,Kolkata,4565257
01-06-2002,31.3,2002,False,Kolkata,4565257
02-06-2002,35.81,2002,False,Kolkata,4565257
03-06-2002,36.86,2002,False,Kolkata,4565257
04-06-2002,36.55,2002,False,Kolkata,4565257
05-06-2002,32.27,2002,False,Kolkata,4565257
06-06-2002,35.75,2002,False,Kolkata,4565257
07-06-2002,35.81,2002,False,Kolkata,4565257
08-06-2002,33.11,2002,False,Kolkata,4565257
09-06-2002,32.71,2002,False,Kolkata,4565257
10-06-2002,31.42,2002,False,Kolkata,4565257
11-06-2002,29.27,2002,False,Kolkata,4565257
12-06-2002,30.13,2002,False,Kolkata,4565257
13-06-2002,30.46,2002,False,Kolkata,4565257
14-06-2002,32.3,2002,False,Kolkata,4565257
15-06-2002,31.64,2002,False,Kolkata,4565257
16-06-2002,32.6,2002,False,Kolkata,4565257
17-06-2002,32.41,2002,False,Kolkata,4565257
18-06-2002,31.49,2002,False,Kolkata,4565257
19-06-2002,33.08,2002,False,Kolkata,4565257
20-06-2002,32.74,2002,False,Kolkata,4565257
21-06-2002,30.46,2002,False,Kolkata,4565257
22-06-2002,33.78,2002,False,Kolkata,4565257
23-06-2002,31.2,2002,False,Kolkata,4565257
24-06-2002,32.81,2002,False,Kolkata,4565257
25-06-2002,29.45,2002,False,Kolkata,4565257
26-06-2002,32.3,2002,False,Kolkata,4565257
27-06-2002,31.55,2002,False,Kolkata,4565257
28-06-2002,33.01,2002,False,Kolkata,4565257
29-06-2002,31.17,2002,False,Kolkata,4565257
30-06-2002,30.92,2002,False,Kolkata,4565257
01-07-2002,30.95,2002,False,Kolkata,4565257
02-07-2002,31.14,2002,False,Kolkata,4565257
03-07-2002,31.67,2002,False,Kolkata,4565257
04-07-2002,31.44,2002,False,Kolkata,4565257
05-07-2002,31.8,2002,False,Kolkata,4565257
06-07-2002,31.8,2002,False,Kolkata,4565257
07-07-2002,31.67,2002,False,Kolkata,4565257
08-07-2002,31.0,2002,False,Kolkata,4565257
09-07-2002,33.4,2002,False,Kolkata,4565257
10-07-2002,32.27,2002,False,Kolkata,4565257
11-07-2002,32.9,2002,False,Kolkata,4565257
12-07-2002,31.4,2002,False,Kolkata,4565257
13-07-2002,32.13,2002,False,Kolkata,4565257
14-07-2002,31.27,2002,False,Kolkata,4565257
15-07-2002,28.87,2002,False,Kolkata,4565257
16-07-2002,30.64,2002,False,Kolkata,4565257
17-07-2002,32.49,2002,False,Kolkata,4565257
18-07-2002,32.2,2002,False,Kolkata,4565257
19-07-2002,30.43,2002,False,Kolkata,4565257
20-07-2002,30.37,2002,False,Kolkata,4565257
21-07-2002,29.87,2002,False,Kolkata,4565257
22-07-2002,31.7,2002,False,Kolkata,4565257
23-07-2002,31.22,2002,False,Kolkata,4565257
24-07-2002,32.35,2002,False,Kolkata,4565257
25-07-2002,34.02,2002,False,Kolkata,4565257
26-07-2002,33.2,2002,False,Kolkata,4565257
27-07-2002,30.11,2002,False,Kolkata,4565257
28-07-2002,30.16,2002,False,Kolkata,4565257
29-07-2002,31.98,2002,False,Kolkata,4565257
30-07-2002,31.06,2002,False,Kolkata,4565257
31-07-2002,30.54,2002,False,Kolkata,4565257
01-08-2002,31.79,2002,False,Kolkata,4565257
02-08-2002,29.53,2002,False,Kolkata,4565257
03-08-2002,30.42,2002,False,Kolkata,4565257
04-08-2002,29.77,2002,False,Kolkata,4565257
05-08-2002,30.03,2002,False,Kolkata,4565257
06-08-2002,30.46,2002,False,Kolkata,4565257
07-08-2002,31.98,2002,False,Kolkata,4565257
08-08-2002,32.2,2002,False,Kolkata,4565257
09-08-2002,29.7,2002,False,Kolkata,4565257
10-08-2002,31.43,2002,False,Kolkata,4565257
11-08-2002,30.88,2002,False,Kolkata,4565257
12-08-2002,29.66,2002,False,Kolkata,4565257
13-08-2002,30.53,2002,False,Kolkata,4565257
14-08-2002,30.28,2002,False,Kolkata,4565257
15-08-2002,30.41,2002,False,Kolkata,4565257
16-08-2002,29.39,2002,False,Kolkata,4565257
17-08-2002,30.19,2002,False,Kolkata,4565257
18-08-2002,30.92,2002,False,Kolkata,4565257
19-08-2002,30.21,2002,False,Kolkata,4565257
20-08-2002,31.11,2002,False,Kolkata,4565257
21-08-2002,31.69,2002,False,Kolkata,4565257
22-08-2002,30.29,2002,False,Kolkata,4565257
23-08-2002,29.83,2002,False,Kolkata,4565257
24-08-2002,29.07,2002,False,Kolkata,4565257
25-08-2002,29.12,2002,False,Kolkata,4565257
26-08-2002,30.33,2002,False,Kolkata,4565257
27-08-2002,31.19,2002,False,Kolkata,4565257
28-08-2002,30.89,2002,False,Kolkata,4565257
29-08-2002,28.46,2002,False,Kolkata,4565257
30-08-2002,29.81,2002,False,Kolkata,4565257
31-08-2002,29.98,2002,False,Kolkata,4565257
01-09-2002,29.46,2002,False,Kolkata,4565257
02-09-2002,29.43,2002,False,Kolkata,4565257
03-09-2002,29.31,2002,False,Kolkata,4565257
04-09-2002,30.75,2002,False,Kolkata,4565257
05-09-2002,29.86,2002,False,Kolkata,4565257
06-09-2002,29.4,2002,False,Kolkata,4565257
07-09-2002,30.09,2002,False,Kolkata,4565257
08-09-2002,30.53,2002,False,Kolkata,4565257
09-09-2002,30.42,2002,False,Kolkata,4565257
10-09-2002,28.55,2002,False,Kolkata,4565257
11-09-2002,28.39,2002,False,Kolkata,4565257
12-09-2002,28.96,2002,False,Kolkata,4565257
13-09-2002,31.37,2002,False,Kolkata,4565257
14-09-2002,31.29,2002,False,Kolkata,4565257
15-09-2002,29.15,2002,False,Kolkata,4565257
16-09-2002,31.35,2002,False,Kolkata,4565257
17-09-2002,32.72,2002,False,Kolkata,4565257
18-09-2002,31.11,2002,False,Kolkata,4565257
19-09-2002,30.58,2002,False,Kolkata,4565257
20-09-2002,30.32,2002,False,Kolkata,4565257
21-09-2002,29.31,2002,False,Kolkata,4565257
22-09-2002,29.02,2002,False,Kolkata,4565257
23-09-2002,28.57,2002,False,Kolkata,4565257
24-09-2002,29.14,2002,False,Kolkata,4565257
25-09-2002,30.42,2002,False,Kolkata,4565257
26-09-2002,29.19,2002,False,Kolkata,4565257
27-09-2002,29.73,2002,False,Kolkata,4565257
28-09-2002,31.07,2002,False,Kolkata,4565257
29-09-2002,30.28,2002,False,Kolkata,4565257
30-09-2002,31.39,2002,False,Kolkata,4565257
01-10-2002,31.26,2002,False,Kolkata,4565257
02-10-2002,31.94,2002,False,Kolkata,4565257
03-10-2002,31.04,2002,False,Kolkata,4565257
04-10-2002,31.14,2002,False,Kolkata,4565257
05-10-2002,31.29,2002,False,Kolkata,4565257
06-10-2002,32.0,2002,False,Kolkata,4565257
07-10-2002,31.63,2002,False,Kolkata,4565257
08-10-2002,30.57,2002,False,Kolkata,4565257
